"O=C(O)Cc1nn(Cc2nc3ccc(O)cc3s2)c(=O)c2ccccc12","Active"
"O=C1NC(=O)C(c2cc(Cl)ccc2S(=O)(=O)NCCCCc2ccccc2)N1","Active"
"O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12","Active"
"O=C(O)c1ccc2nc3cc(O)ccc3c(=O)n2c1","Active"
"O=C(O)Cn1cc(Cc2nc3c(F)c(F)cc(F)c3s2)c2cc(-c3ccccc3)ccc21","Active"
"Cc1c(Cc2nc3c(F)c(F)cc(F)c3s2)c2ccccc2n1CC(=O)O","Active"
"Cc1ccc2c(Cc3nc4c(F)c(F)cc(F)c4s3)cn(CC(=O)O)c2c1","Active"
"O=C(O)Cn1cc(Cc2nc3c(F)c(F)cc(F)c3s2)c2cccc(Cl)c21","Active"
"CC[C@@H]1C[C@@](O)(CC(=O)O)c2cc(F)ccc2O1","Active"
"O=S(=O)(c1ccc(O)nn1)c1cc2ccccc2[nH]1","Active"
"O=S(=O)(c1ccc(O)nn1)c1ccc(Cl)cc1Cl","Active"
"O=C(O)Cc1nn(Cc2cc3cc([N+](=O)[O-])ccc3s2)c(=O)c2ccccc12","Active"
"C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O","Active"
"COc1cc(O)ccc1/C=C/C(=O)OCCc1ccccc1","Active"
"O=C(/C=C/c1ccc(O)cc1)OCc1ccccc1","Active"
"O=C(O)Cc1nn(Cc2nc3ccc(C(F)(F)F)cc3s2)c(=O)c2ccccc12","Active"
"O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","Active"
"CC(C)c1ccc2nc(Cn3nc(CC(=O)O)c4ccccc4c3=O)sc2c1","Active"
"COc1cccc2sc(Cn3nc(CC(=O)O)c4ccccc4c3=O)nc12","Active"
"CC(C)c1ccc2c(CC(=O)O)nn(Cc3nc4ccccc4s3)c(=O)c2c1","Active"
"O=C(O)Cc1nn(Cc2nc3ccccc3s2)c(=O)c2cc(Cl)c(Cl)cc12","Active"
"CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1","Active"
"O=C(O)Cc1ccc2c(=O)c3ccccc3ccc2c1","Active"
"NC(=O)[C@@H]1C[C@]2(NC(=O)NC2=O)c2cc(F)ccc2O1","Active"
"O=C(O)Cn1cc(Cc2nc3c(F)c(F)cc(F)c3s2)c2cc(Oc3ccccc3)ccc21","Active"
"O=C(O)Cc1nn(Cc2nc3cc(Cl)cc(F)c3s2)c(=O)c2ccccc12","Active"
"Cc1c(CC(=O)O)nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c1C","Active"
"O=C(O)Cc1ccc(=O)n(Cc2nc3cc(C(F)(F)F)ccc3s2)n1","Active"
